,index,Count
596,poop,14
287,hour,13
1198,fruit,13
1196,cereal,13
662,sweet,13
1708,cups,13
3149,disease,13
1124,readiness,13
261,fall,13
797,decide,13
3148,centers,13
338,sound,13
1566,egg,13
668,pick,13
1106,calming,13
357,crying,13
2082,positive,13
566,onemonthold,13
544,becoming,13
158,hard,13
600,personality,13
2118,transition,13
1030,rate,13
2298,limits,13
3116,yogurt,13
810,roll,13
189,diapers,13
137,breastfed,13
840,cut,12
1212,afternoon,12
3183,½,12
146,mom,12
1754,iron,12
1625,sitting,12
451,fine,12
159,watch,12
88,within,12
266,holding,12
375,eyes,12
1962,steps,12
3184,yums,12
352,discomfort,12
744,safe,12
313,prevent,12
1163,choices,12
3115,lowfat,12
1951,years,12
3117,account,12
1057,grasp,12
440,ones,12
1512,easily,12
1946,step,12
204,call,12
2615,comfort,11
1489,sippy,11
671,loves,11
2135,rules,11
214,sleeps,11
1506,tv,11
193,constipation,11
1684,stand,11
1314,ounce,11
2017,snack,11
2143,theres,11
2121,heres,11
2376,whats,11
237,starts,11
1895,songs,11
374,focus,11
847,house,11
441,showing,11
2173,fiber,11
1103,moms,11
336,awake,11
328,close,11
326,concerned,11
901,soothing,11
1136,rolling,11
1169,answers,11
902,gradually,11
1158,reach,11
303,stomach,11
919,actually,11
2537,pretend,11
2185,hell,11
1191,choose,11
1217,screaming,11
490,shapes,11
41,birth,11
958,recommended,10
987,sick,10
1759,independent,10
1671,pasta,10
1428,refusing,10
954,quite,10
1737,jump,10
1013,mama,10
900,aware,10
1855,biting,10
1007,regular,10
1714,standing,10
1016,shell,10
1022,break,10
869,chart,10
1459,crawl,10
1727,fast,10
1478,running,10
1144,curve,10
1186,sit,10
640,brain,10
1673,tofu,10
2385,erupt,10
2207,offering,10
741,coughing,10
720,tough,10
1232,letting,10
0,newborn,10
1772,pieces,10
265,face,10
85,trip,10
525,slowly,10
333,couple,10
539,depends,10
219,snoozing,10
2739,helps,10
51,ways,10
44,arms,10
329,consider,10
178,minutes,10
102,dry,10
10,diaper,9
1025,body,9
1021,recognize,9
879,listening,9
281,loop,9
461,happening,9
1564,eggs,9
1002,visit,9
420,gain,9
2215,crayons,9
2713,terror,9
527,past,9
2022,book,9
1029,playtime,9
431,spurts,9
629,hearing,9
861,vary,9
1051,upright,9
670,knows,9
1053,feet,9
1245,solids,9
852,especially,9
828,twomonthold,9
1225,train,9
273,wonder,9
655,else,9
2570,theyll,9
990,habits,9
1595,activity,9
1272,ability,9
198,care,9
1392,considered,9
1170,vomiting,9
947,part,9
955,stretches,9
933,seven,9
1150,hand,9
1203,force,9
973,wait,9
22,life,9
707,move,9
1968,music,9
2399,challenging,9
1127,leave,9
2609,dinner,9
1376,later,9
785,tricks,9
694,developmental,9
1201,slow,9
697,trouble,9
1546,tablespoons,9
910,continues,9
486,mobile,8
1655,join,8
511,toward,8
813,specific,8
1073,appetite,8
1206,throw,8
1084,sign,8
1180,switch,8
354,sees,8
1713,support,8
144,order,8
479,faces,8
1204,allergy,8
450,tired,8
812,following,8
1712,ninemonthold,8
39,addition,8
800,otherwise,8
1101,sing,8
1678,ground,8
2296,root,8
2503,pressure,8
1610,telling,8
1370,reaction,8
45,legs,8
1108,ideal,8
2272,consistent,8
2478,draw,8
1377,name,8
1378,shows,8
1710,nine,8
2387,painful,8
651,colors,8
391,voice,8
1261,dada,8
1558,options,8
903,social,8
1743,delay,8
1792,dad,8
1720,youve,8
1495,changes,8
1550,certain,8
980,skill,8
1334,dealing,8
528,divide,8
921,range,8
583,feeling,8
1779,whites,8
2712,terrors,8
3366,school,8
2381,vocabulary,8
2809,learns,8
1509,place,8
2154,portions,8
1020,clear,8
1338,tears,8
11,changing,8
430,nurse,8
639,parts,8
1063,mouth,8
841,staying,8
2196,havent,8
1247,choking,8
151,cues,8
3054,sentences,8
621,gained,8
971,sleeptrain,7
2064,terrible,7
1970,singing,7
1982,toddlerhood,7
1603,emotions,7
476,foot,7
2389,pearly,7
883,perhaps,7
409,turning,7
1501,climb,7
1410,textures,7
1648,balance,7
1521,color,7
1066,olds,7
1398,across,7
1076,slightly,7
1991,oneyearold,7
2852,says,7
405,communicate,7
3155,woes,7
473,aka,7
1080,healthily,7
924,closer,7
793,sleepy,7
332,experience,7
1120,happy,7
1485,green,7
1627,catch,7
327,strangers,7
1048,upper,7
2312,key,7
858,pound,7
988,several,7
1052,push,7
1132,tons,7
1054,onto,7
2447,stories,7
782,reasons,7
1460,miss,7
1899,party,7
775,exactly,7
1894,game,7
2784,boy,7
757,falling,7
2201,children,7
1730,bounds,7
1683,pulling,7
1729,leaps,7
1685,cruising,7
524,amount,7
630,developed,7
234,dark,7
632,fully,7
570,minute,7
522,content,7
702,object,7
